date,risk_score,alert
2009-12-27,0.08123726,False
2009-12-28,0.081537664,False
2009-12-29,0.0808821,False
2009-12-30,0.083295055,False
2009-12-31,0.084519,False
2010-01-01,0.08494462,False
2010-01-02,0.084165186,False
2010-01-03,0.08253984,False
2010-01-04,0.08741384,False
2010-01-05,0.090304434,False
2010-01-06,0.08290668,False
2010-01-07,0.085679725,False
2010-01-08,0.090708755,False
2010-01-09,0.10757881,False
2010-01-10,0.09119189,False
2010-01-11,0.085864365,False
2010-01-12,0.08855904,False
2010-01-13,0.09688622,False
2010-01-14,0.102265514,False
2010-01-15,0.093323454,False
2010-01-16,0.08710187,False
2010-01-17,0.08825245,False
2010-01-18,0.11043951,False
2010-01-19,0.09934605,False
2010-01-20,0.09099294,False
2010-01-21,0.08745888,False
2010-01-22,0.0949477,False
2010-01-23,0.090853535,False
2010-01-24,0.09548182,False
2010-01-25,0.09403532,False
2010-01-26,0.09172903,False
2010-01-27,0.08845059,False
2010-01-28,0.09378251,False
2010-01-29,0.09223857,False
2010-01-30,0.08569885,False
2010-01-31,0.08964288,False
2010-02-01,0.09026321,False
2010-02-02,0.08811791,False
2010-02-03,0.08079349,False
2010-02-04,0.07962235,False
2010-02-05,0.079888254,False
2010-02-06,0.08071406,False
2010-02-07,0.08026393,False
2010-02-08,0.07844498,False
2010-02-09,0.08024762,False
2010-02-10,0.07981885,False
2010-02-11,0.07985924,False
2010-02-12,0.079725824,False
2010-02-13,0.07962543,False
2010-02-14,0.079302885,False
2010-02-15,0.07985377,False
2010-02-16,0.08131609,False
2010-02-17,0.082457095,False
2010-02-18,0.08330521,False
2010-02-19,0.08339996,False
2010-02-20,0.08162534,False
2010-02-21,0.08108673,False
2010-02-22,0.08141674,False
2010-02-23,0.07997447,False
2010-02-24,0.08336966,False
2010-02-25,0.08026002,False
2010-02-26,0.08710919,False
2010-02-27,0.0902548,False
2010-02-28,0.087286316,False
2010-03-01,0.079569325,False
2010-03-02,0.0813065,False
2010-03-03,0.078380734,False
2010-03-04,0.07951315,False
2010-03-05,0.08348259,False
2010-03-06,0.07814155,False
2010-03-07,0.07639874,False
2010-03-08,0.076815136,False
2010-03-09,0.0779995,False
2010-03-10,0.07783745,False
2010-03-11,0.079299964,False
2010-03-12,0.07832194,False
2010-03-13,0.08073784,False
2010-03-14,0.07847415,False
2010-03-15,0.07849244,False
2010-03-16,0.07986447,False
2010-03-17,0.08072956,False
2010-03-18,0.08032594,False
2010-03-19,0.07920916,False
2010-03-20,0.08022426,False
2010-03-21,0.08177232,False
2010-03-22,0.080864556,False
2010-03-23,0.07942062,False
2010-03-24,0.07667135,False
2010-03-25,0.08709313,False
2010-03-26,0.096468136,False
2010-03-27,0.09111892,False
2010-03-28,0.09747615,False
2010-03-29,0.09526997,False
2010-03-30,0.09728352,False
2010-03-31,0.09661428,False
