date,risk_score,alert,true_label
2019-08-10,1.4404083e-06,0,0.0
2019-08-11,1.2552413e-06,0,0.0
2019-08-12,1.4030362e-06,0,0.0
2019-08-13,1.3684388e-06,0,0.0
2019-08-14,1.455651e-06,0,0.0
2019-08-15,1.6502379e-06,0,0.0
2019-08-16,1.7113263e-06,0,0.0
2019-08-17,1.5830004e-06,0,0.0
2019-08-18,1.3352113e-06,0,0.0
2019-08-19,1.302849e-06,0,0.0
2019-08-20,1.3472488e-06,0,0.0
2019-08-21,1.3877435e-06,0,0.0
2019-08-22,1.4327635e-06,0,0.0
2019-08-23,1.5613459e-06,0,0.0
2019-08-24,1.6366508e-06,0,0.0
2019-08-25,1.7638016e-06,0,0.0
2019-08-26,1.6280858e-06,0,0.0
2019-08-27,1.6392001e-06,0,0.0
2019-08-28,1.7808236e-06,0,0.0
2019-08-29,2.0021855e-06,0,0.0
2019-08-30,2.1786202e-06,0,0.0
2019-08-31,2.5279878e-06,0,0.0
2019-09-01,2.9881992e-06,0,0.0
2019-09-02,4.1825615e-06,0,0.0
2019-09-03,9.182133e-06,0,0.0
2019-09-04,2.963205e-05,0,0.0
2019-09-05,4.1086238e-05,0,0.0
2019-09-06,6.0769104e-05,0,0.0
2019-09-07,0.00010229752,0,0.0
2019-09-08,0.00019084247,0,0.0
2019-09-09,0.00024633078,0,0.0
2019-09-10,0.00042060626,0,0.0
2019-09-11,0.0009845833,0,0.0
2019-09-12,0.0030852098,0,0.0
2019-09-13,0.0033547187,0,0.0
2019-09-14,0.003151658,0,0.0
2019-09-15,0.002732445,0,0.0
2019-09-16,0.00070251006,0,0.0
2019-09-17,0.0005328648,0,0.0
2019-09-18,7.415293e-05,0,0.0
2019-09-19,2.5616544e-05,0,0.0
2019-09-20,4.2598083e-05,0,0.0
2019-09-21,3.183593e-05,0,0.0
2019-09-22,3.1175856e-05,0,0.0
2019-09-23,1.87508e-05,0,0.0
2019-09-24,2.3345234e-05,0,0.0
2019-09-25,2.0392683e-05,0,0.0
2019-09-26,2.2443848e-05,0,0.0
2019-09-27,1.9954028e-05,0,0.0
2019-09-28,1.9814519e-05,0,0.0
2019-09-29,1.941335e-05,0,0.0
2019-09-30,2.5809622e-05,0,0.0
2019-10-01,3.2165117e-05,0,0.0
2019-10-02,3.0773015e-05,0,0.0
2019-10-03,1.7449127e-05,0,0.0
2019-10-04,1.3915952e-05,0,0.0
2019-10-05,1.31783345e-05,0,0.0
2019-10-06,1.1471032e-05,0,0.0
2019-10-07,9.256629e-06,0,0.0
2019-10-08,1.2607355e-05,0,0.0
2019-10-09,1.5084963e-05,0,0.0
2019-10-10,2.2770402e-05,0,0.0
2019-10-11,4.79079e-05,0,0.0
2019-10-12,4.015082e-05,0,0.0
2019-10-13,1.6779057e-05,0,0.0
2019-10-14,3.6621375e-05,0,0.0
2019-10-15,2.9776409e-05,0,0.0
2019-10-16,1.2827426e-05,0,0.0
2019-10-17,3.4902869e-06,0,0.0
2019-10-18,2.7377097e-05,0,0.0
2019-10-19,0.0001295872,0,0.0
2019-10-20,0.00034244978,0,0.0
2019-10-21,0.0006639169,0,0.0
2019-10-22,0.0005795656,0,0.0
2019-10-23,0.00023143648,0,0.0
2019-10-24,5.407839e-05,0,0.0
2019-10-25,3.3782686e-05,0,0.0
2019-10-26,5.6744148e-06,0,0.0
2019-10-27,2.9550609e-05,0,0.0
2019-10-28,0.00035280755,0,0.0
2019-10-29,0.0031794761,0,0.0
2019-10-30,0.11721966,0,0.0
2019-10-31,0.8191707,1,0.0
2019-11-01,0.9446873,1,0.0
2019-11-02,0.9539373,1,0.0
2019-11-03,0.9311474,1,0.0
2019-11-04,0.62044615,1,0.0
2019-11-05,0.040934507,0,0.0
2019-11-06,0.00979348,0,0.0
2019-11-07,0.0028802864,0,0.0
2019-11-08,0.00020054854,0,0.0
2019-11-09,1.7198738e-05,0,0.0
2019-11-10,2.6916266e-06,0,0.0
2019-11-11,7.5462515e-07,0,0.0
2019-11-12,6.843494e-07,0,0.0
2019-11-13,9.953377e-07,0,0.0
2019-11-14,2.1351549e-07,0,0.0
2019-11-15,4.7614957e-08,0,0.0
2019-11-16,8.428877e-09,0,0.0
2019-11-17,6.274045e-09,0,0.0
2019-11-18,4.8711535e-10,0,0.0
2019-11-19,6.8348945e-11,0,0.0
2019-11-20,6.880492e-11,0,0.0
2019-11-21,1.7342018e-10,0,0.0
2019-11-22,5.017065e-10,0,0.0
2019-11-23,3.449451e-10,0,0.0
2019-11-24,3.0279507e-10,0,0.0
2019-11-25,2.7440222e-10,0,0.0
2019-11-26,9.8053544e-11,0,0.0
2019-11-27,3.4817045e-12,0,0.0
2019-11-28,3.784837e-12,0,0.0
2019-11-29,7.208627e-12,0,0.0
2019-11-30,1.4869439e-11,0,0.0
2019-12-01,5.511045e-12,0,0.0
2019-12-02,2.9674963e-12,0,0.0
2019-12-03,1.0355229e-11,0,0.0
2019-12-04,2.4229033e-10,0,0.0
2019-12-05,2.0967521e-10,0,0.0
2019-12-06,3.5929215e-10,0,0.0
2019-12-07,7.629812e-10,0,0.0
2019-12-08,9.635007e-09,0,0.0
2019-12-09,1.3440922e-08,0,0.0
2019-12-10,1.4406535e-08,0,0.0
2019-12-11,2.0927589e-08,0,0.0
2019-12-12,2.294115e-07,0,0.0
2019-12-13,3.072999e-07,0,0.0
2019-12-14,3.0150133e-07,0,0.0
2019-12-15,2.8015967e-07,0,0.0
2019-12-16,1.0554852e-06,0,0.0
2019-12-17,2.4536473e-06,0,0.0
2019-12-18,1.4319494e-06,0,0.0
2019-12-19,1.6388047e-06,0,0.0
2019-12-20,4.0073296e-06,0,0.0
2019-12-21,3.201943e-06,0,0.0
2019-12-22,1.7842727e-06,0,0.0
2019-12-23,3.833409e-06,0,0.0
2019-12-24,5.2822984e-06,0,0.0
2019-12-25,1.0333509e-05,0,0.0
2019-12-26,1.2422995e-05,0,0.0
2019-12-27,9.4873185e-06,0,0.0
2019-12-28,8.187206e-06,0,0.0
2019-12-29,9.596194e-06,0,0.0
2019-12-30,4.092076e-06,0,0.0
2019-12-31,2.7860044e-06,0,0.0
2020-01-01,2.7011945e-08,0,0.0
2020-01-02,1.2099213e-08,0,0.0
2020-01-03,7.8301987e-10,0,0.0
2020-01-04,1.7563384e-10,0,0.0
2020-01-05,4.6088506e-12,0,0.0
2020-01-06,4.1795498e-13,0,0.0
2020-01-07,1.8266954e-15,0,0.0
2020-01-08,4.4924383e-15,0,0.0
2020-01-09,9.755232e-18,0,0.0
2020-01-10,1.5434311e-18,0,0.0
2020-01-11,1.2024181e-21,0,0.0
2020-01-12,2.1394666e-20,0,0.0
2020-01-13,2.0034949e-22,0,0.0
2020-01-14,4.775432e-22,0,0.0
2020-01-15,1.5946512e-24,0,0.0
2020-01-16,1.1796105e-22,0,0.0
2020-01-17,1.8731542e-24,0,0.0
2020-01-18,2.6086054e-24,0,0.0
2020-01-19,1.9912846e-26,0,0.0
2020-01-20,1.2524584e-24,0,0.0
2020-01-21,2.5186712e-25,0,0.0
2020-01-22,1.5136432e-24,0,0.0
2020-01-23,2.281749e-25,0,0.0
2020-01-24,3.6511973e-23,0,0.0
2020-01-25,2.0738525e-23,0,0.0
2020-01-26,1.0757487e-23,0,0.0
2020-01-27,9.9433574e-24,0,0.0
2020-01-28,3.0407571e-22,0,0.0
2020-01-29,6.98518e-22,0,0.0
2020-01-30,1.2525082e-21,0,0.0
2020-01-31,3.4087115e-21,0,0.0
2020-02-01,1.6834555e-20,0,0.0
2020-02-02,4.100867e-21,0,0.0
2020-02-03,1.5875817e-22,0,0.0
2020-02-04,1.2020872e-22,0,0.0
2020-02-05,3.1520468e-23,0,0.0
2020-02-06,1.1093717e-23,0,0.0
2020-02-07,1.8414062e-25,0,0.0
2020-02-08,5.4033e-26,0,0.0
2020-02-09,2.402606e-27,0,0.0
2020-02-10,2.8573248e-28,0,0.0
2020-02-11,1.2933023e-29,0,0.0
2020-02-12,2.4037405e-29,0,0.0
2020-02-13,1.7888938e-28,0,0.0
2020-02-14,2.3677756e-28,0,0.0
2020-02-15,9.9879624e-29,0,0.0
2020-02-16,3.7045127e-29,0,0.0
2020-02-17,2.986008e-29,0,0.0
2020-02-18,5.163967e-29,0,0.0
2020-02-19,8.162739e-28,0,0.0
2020-02-20,6.859103e-27,0,0.0
2020-02-21,5.836703e-26,0,0.0
2020-02-22,4.3613797e-25,0,0.0
2020-02-23,1.466402e-24,0,0.0
2020-02-24,8.2052105e-25,0,0.0
2020-02-25,1.9001043e-26,0,0.0
2020-02-26,6.425567e-26,0,0.0
2020-02-27,1.565096e-25,0,0.0
2020-02-28,1.4308763e-24,0,0.0
2020-02-29,5.498281e-26,0,0.0
2020-03-01,1.789341e-24,0,0.0
2020-03-02,1.150167e-24,0,0.0
2020-03-03,2.0732751e-23,0,0.0
2020-03-04,4.4137815e-26,0,0.0
2020-03-05,6.950349e-25,0,0.0
2020-03-06,3.1444156e-26,0,0.0
2020-03-07,2.505674e-27,0,0.0
2020-03-08,9.142553e-31,0,0.0
2020-03-09,3.0279416e-31,0,0.0
2020-03-10,3.868202e-32,0,0.0
2020-03-11,8.14906e-33,0,0.0
2020-03-12,3.4870736e-35,0,0.0
2020-03-13,6.925198e-35,0,0.0
2020-03-14,8.374625e-37,0,0.0
2020-03-15,0.0,0,0.0
2020-03-16,0.0,0,0.0
2020-03-17,0.0,0,0.0
2020-03-18,0.0,0,0.0
2020-03-19,0.0,0,0.0
2020-03-20,0.0,0,0.0
2020-03-21,0.0,0,0.0
2020-03-22,0.0,0,0.0
2020-03-23,0.0,0,0.0
2020-03-24,0.0,0,0.0
2020-03-25,0.0,0,0.0
2020-03-26,0.0,0,0.0
2020-03-27,0.0,0,0.0
2020-03-28,0.0,0,0.0
2020-03-29,0.0,0,0.0
2020-03-30,0.0,0,0.0
2020-03-31,0.0,0,0.0
2020-04-01,0.0,0,0.0
2020-04-02,0.0,0,0.0
2020-04-03,0.0,0,0.0
2020-04-04,0.0,0,0.0
2020-04-05,0.0,0,0.0
2020-04-06,0.0,0,0.0
2020-04-07,0.0,0,0.0
2020-04-08,0.0,0,0.0
2020-04-09,0.0,0,0.0
2020-04-10,0.0,0,0.0
2020-04-11,0.0,0,0.0
2020-04-12,0.0,0,0.0
2020-04-13,0.0,0,0.0
2020-04-14,0.0,0,0.0
2020-04-15,0.0,0,0.0
2020-04-16,0.0,0,0.0
2020-04-17,0.0,0,0.0
2020-04-18,0.0,0,0.0
2020-04-19,0.0,0,0.0
2020-04-20,0.0,0,0.0
2020-04-21,0.0,0,0.0
2020-04-22,0.0,0,0.0
2020-04-23,0.0,0,0.0
2020-04-24,0.0,0,0.0
2020-04-25,0.0,0,0.0
2020-04-26,0.0,0,0.0
2020-04-27,0.0,0,0.0
2020-04-28,0.0,0,0.0
2020-04-29,0.0,0,0.0
2020-04-30,0.0,0,0.0
2020-05-01,0.0,0,0.0
2020-05-02,0.0,0,0.0
2020-05-03,0.0,0,0.0
2020-05-04,0.0,0,0.0
2020-05-05,0.0,0,0.0
2020-05-06,0.0,0,0.0
2020-05-07,0.0,0,0.0
2020-05-08,0.0,0,0.0
2020-05-09,0.0,0,0.0
2020-05-10,0.0,0,0.0
2020-05-11,0.0,0,0.0
2020-05-12,0.0,0,0.0
2020-05-13,0.0,0,0.0
2020-05-14,0.0,0,0.0
2020-05-15,0.0,0,0.0
2020-05-16,0.0,0,0.0
2020-05-17,0.0,0,0.0
2020-05-18,0.0,0,0.0
2020-05-19,0.0,0,0.0
2020-05-20,0.0,0,0.0
2020-05-21,0.0,0,0.0
2020-05-22,0.0,0,0.0
2020-05-23,0.0,0,0.0
2020-05-24,0.0,0,0.0
2020-05-25,0.0,0,0.0
2020-05-26,0.0,0,0.0
2020-05-27,0.0,0,0.0
2020-05-28,0.0,0,0.0
2020-05-29,0.0,0,0.0
2020-05-30,0.0,0,0.0
2020-05-31,0.0,0,0.0
2020-06-01,0.0,0,0.0
2020-06-02,0.0,0,0.0
2020-06-03,0.0,0,0.0
2020-06-04,0.0,0,0.0
2020-06-05,0.0,0,0.0
2020-06-06,0.0,0,0.0
2020-06-07,0.0,0,0.0
2020-06-08,0.0,0,0.0
2020-06-09,0.0,0,0.0
2020-06-10,0.0,0,0.0
2020-06-11,7.778067e-37,0,0.0
2020-06-12,1.4852795e-23,0,0.0
2020-06-13,2.0751419e-16,0,0.0
2020-06-14,6.906627e-12,0,0.0
2020-06-15,0.004720757,0,0.0
2020-06-16,0.96155185,1,0.0
2020-06-17,0.97939485,1,0.0
2020-06-18,0.94597006,1,0.0
2020-06-19,0.97638786,1,0.0
2020-06-20,0.7423208,1,0.0
2020-06-21,0.019936128,0,0.0
2020-06-22,0.8759846,1,0.0
2020-06-23,0.7572312,1,0.0
2020-06-24,0.2674455,0,1.0
2020-06-25,0.18165453,0,1.0
2020-06-26,0.03861002,0,1.0
2020-06-27,0.00018013497,0,1.0
2020-06-28,6.368061e-05,0,1.0
2020-06-29,0.00016192117,0,1.0
2020-06-30,0.00010896661,0,1.0
2020-07-01,4.8206333e-05,0,0.0
2020-07-02,4.164571e-06,0,0.0
2020-07-03,1.248498e-05,0,0.0
2020-07-04,1.8792098e-05,0,0.0
2020-07-05,4.3468302e-05,0,0.0
2020-07-06,5.617318e-05,0,0.0
2020-07-07,0.00037889642,0,0.0
2020-07-08,9.344655e-05,0,0.0
2020-07-09,0.00042885466,0,0.0
2020-07-10,0.0003431763,0,0.0
2020-07-11,5.3184616e-05,0,0.0
2020-07-12,1.5050346e-05,0,0.0
2020-07-13,5.218488e-06,0,0.0
2020-07-14,1.3009657e-06,0,0.0
2020-07-15,1.7494968e-07,0,0.0
2020-07-16,1.5147421e-07,0,0.0
2020-07-17,3.9574832e-07,0,0.0
2020-07-18,1.8103533e-06,0,0.0
2020-07-19,4.469968e-06,0,0.0
2020-07-20,8.314683e-06,0,0.0
2020-07-21,6.4842956e-05,0,0.0
2020-07-22,0.00038961557,0,0.0
2020-07-23,0.00083221466,0,0.0
2020-07-24,0.00038141664,0,0.0
2020-07-25,6.446981e-05,0,0.0
2020-07-26,1.0521271e-05,0,0.0
2020-07-27,2.1095959e-05,0,0.0
2020-07-28,4.8865237e-05,0,0.0
2020-07-29,6.57621e-05,0,0.0
2020-07-30,7.1801565e-05,0,0.0
2020-07-31,0.00021511466,0,0.0
2020-08-01,9.233938e-05,0,0.0
2020-08-02,0.00020732093,0,0.0
